"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"07013","CLIFTON, NJ",,"G",8347,"G",87289,"G",385031,894,"CLIFTON","NJ","PASSAIC"
"07014","CLIFTON, NJ",,"H",6250,"H",80652,"H",330906,224,"CLIFTON","NJ","PASSAIC"
"07015","CLIFTON, NJ",,"H",413,"H",4383,"H",20078,38,"CLIFTON","NJ","PASSAIC"
"07016","CRANFORD, NJ",,"G",11678,"G",172388,"G",702831,753,"CRANFORD","NJ","UNION"
"07017","EAST ORANGE, NJ",,"G",3386,"G",29886,"G",127447,266,"EAST ORANGE","NJ","ESSEX"
"07018","EAST ORANGE, NJ",,"H",7229,"H",84904,"H",331724,439,"EAST ORANGE","NJ","ESSEX"
"07019","EAST ORANGE, NJ",,"H",57,"H",612,"H",2447,12,"EAST ORANGE","NJ","ESSEX"
"07020","EDGEWATER, NJ",,"G",5027,"G",31904,"G",140647,456,"EDGEWATER","NJ","BERGEN"
"07021","ESSEX FELLS, NJ",,"H",403,"H",10959,"H",45089,40,"ESSEX FELLS","NJ","ESSEX"
"07022","FAIRVIEW, NJ",,"G",2187,"G",17850,"G",82448,354,"FAIRVIEW","NJ","BERGEN"
"07023","FANWOOD, NJ",,"H",1498,"G",10817,"G",47361,168,"FANWOOD","NJ","UNION"
"07024","FORT LEE, NJ",,"G",10860,"G",151114,"G",650042,1612,"FORT LEE","NJ","BERGEN"
"07026","GARFIELD, NJ",,"G",4777,"G",39000,"G",179262,590,"GARFIELD","NJ","BERGEN"
"07027","GARWOOD, NJ",,"H",2104,"G",14947,"H",69418,164,"GARWOOD","NJ","UNION"
"07028","GLEN RIDGE, NJ",,"G",807,"G",11992,"G",59237,143,"GLEN RIDGE","NJ","ESSEX"
"07029","HARRISON, NJ",,"G",3856,"G",37840,"G",165093,303,"HARRISON","NJ","HUDSON"
"07030","HOBOKEN, NJ",,"G",19887,"G",277688,"G",1120017,1453,"HOBOKEN","NJ","HUDSON"
"07031","NORTH ARLINGTON, NJ",,"G",2744,"G",23250,"G",105928,287,"NORTH ARLINGTON","NJ","BERGEN"
"07032","KEARNY, NJ",,"G",12407,"G",130646,"G",563777,875,"KEARNY","NJ","HUDSON"
"07033","KENILWORTH, NJ",,"H",8671,"H",209472,"H",713368,417,"KENILWORTH","NJ","UNION"
"07034","LAKE HIAWATHA, NJ",,"G",734,"G",5111,"G",21703,132,"LAKE HIAWATHA","NJ","MORRIS"
"07035","LINCOLN PARK, NJ",,"G",3699,"G",35586,"G",170620,268,"LINCOLN PARK","NJ","MORRIS"
"07036","LINDEN, NJ",,"G",16969,"G",211959,"G",889101,1198,"LINDEN","NJ","UNION"
"07039","LIVINGSTON, NJ",,"G",21037,"G",332632,"G",1272941,1321,"LIVINGSTON","NJ","ESSEX"
"07040","MAPLEWOOD, NJ",,"G",5005,"G",59667,"G",246106,499,"MAPLEWOOD","NJ","ESSEX"
